hero,role,data_tier,map,map_name,update_date,win_rate,pick_rate,win_rate_z,pick_rate_log,pick_rate_z,total_score,rank
벤처,Damage,Grandmaster,nepal,네팔,2026-04-26,52.0,3.2,0.6936472837158756,1.4350845252893227,-1.0951551127047787,-0.0218736748523861,B
브리기테,Support,Grandmaster,nepal,네팔,2026-04-26,51.3,5.2,0.49232038917395,1.824549292051046,-0.4991140418914532,0.0957466167477887,B
소전,Damage,Grandmaster,nepal,네팔,2026-04-26,45.7,11.4,-1.1182947671614458,2.517696472610991,0.5616858634949851,-0.4463025148988734,B
솔저: 76,Damage,Grandmaster,nepal,네팔,2026-04-26,49.5,15.8,-0.0253773396481411,2.8213788864092133,1.026444698068098,0.3953514754383545,A
솜브라,Damage,Grandmaster,nepal,네팔,2026-04-26,46.9,2.6,-0.7731629479467189,1.2809338454620642,-1.331068972217144,-0.9963253576548888,C
시그마,Tank,Grandmaster,nepal,네팔,2026-04-26,52.4,8.7,0.8086912234541178,2.272125885509337,0.1858619939487132,0.5595595316519559,A
시메트라,Damage,Grandmaster,nepal,네팔,2026-04-26,59.5,5.3,2.8507211538079256,1.840549633397487,-0.4746269472851622,1.5205819133706904,S
아나,Support,Grandmaster,nepal,네팔,2026-04-26,48.0,43.2,-0.4567921136665512,3.788724789083653,2.5068812789455395,0.7286772433782851,S
안란,Damage,Grandmaster,nepal,네팔,2026-04-26,51.9,11.5,0.6648862987813144,2.5257286443082556,0.5739783855097506,0.6285231334726888,S
애쉬,Damage,Grandmaster,nepal,네팔,2026-04-26,48.0,4.7,-0.4567921136665512,1.7404661748405046,-0.6277957494466717,-0.5251935679785994,C
에코,Damage,Grandmaster,nepal,네팔,2026-04-26,48.6,4.5,-0.2842262040591867,1.7047480922384253,-0.6824590874902057,-0.4435193574315943,B
엠레,Damage,Grandmaster,nepal,네팔,2026-04-26,49.9,15.4,0.0896666000901011,2.797281334830153,0.9895655457725324,0.4496261783630736,A
오리사,Tank,Grandmaster,nepal,네팔,2026-04-26,48.5,13.1,-0.3129871889937478,2.6461747973841225,0.7583104745241273,0.1155318764134022,A
우양,Support,Grandmaster,nepal,네팔,2026-04-26,51.7,12.6,0.6073643289121944,2.6100697927420065,0.703054986826127,0.6456405920777675,S
위도우메이커,Damage,Grandmaster,nepal,네팔,2026-04-26,35.8,0.8,-3.9656322756829536,0.5877866649021191,-2.3918688776035824,-3.336126916451205,C
윈스턴,Tank,Grandmaster,nepal,네팔,2026-04-26,49.7,8.7,0.0321446302209809,2.272125885509337,0.1858619939487132,0.0936315757120739,B
일리아리,Support,Grandmaster,nepal,네팔,2026-04-26,54.6,11.1,1.4414328920144537,2.493205452602695,0.5242045428804656,1.0745415523608584,S
자리야,Tank,Grandmaster,nepal,네팔,2026-04-26,50.3,10.0,0.2047105398283433,2.3978952727983707,0.3783408178962329,0.2741626510554992,A
정커퀸,Tank,Grandmaster,nepal,네팔,2026-04-26,49.7,2.6,0.0321446302209809,1.2809338454620642,-1.331068972217144,-0.513140810754269,C
정크랫,Damage,Grandmaster,nepal,네팔,2026-04-26,51.4,5.1,0.5210813741085112,1.8082887711792657,-0.523999318043604,0.1030490972476651,A
제트팩 캣,Support,Grandmaster,nepal,네팔,2026-04-26,48.3,3.8,-0.37050915886287,1.5686159179138452,-0.8907972322503224,-0.578624388217851,C
젠야타,Support,Grandmaster,nepal,네팔,2026-04-26,51.7,9.3,0.6073643289121944,2.33214389523559,0.2777142020001971,0.4755042781473955,A
주노,Support,Grandmaster,nepal,네팔,2026-04-26,49.3,7.7,-0.0828993095172633,2.1633230256605382,0.0193489262043687,-0.0420000152286104,B
캐서디,Damage,Grandmaster,nepal,네팔,2026-04-26,46.5,23.0,-0.8882068876849613,3.1780538303479458,1.572303871120305,0.0959974158371453,B
